,id,bedrooms,numberOfImages,numberOfFloorplans,numberOfVirtualTours,summary,displayAddress,propertySubType,premiumListing,featuredProperty,price,transactionType,commercial,development,residential,students,auction,feesApply,displaySize,channel,firstVisibleDate,onlineViewingsAvailable,heading,formattedBranchName,addedOrReduced,isRecent,hasBrandPlus,propertyTypeFullDescription,latitude,longitude,displayPrice,listingUpdateReason,listingUpdateDate,branchName,branchLocation,region_id
0,100178015,1,10,2,0,Modern one-bedroom student apartment with high rental yields and below-market value prices. CHA666,"Completed Buy to Let City Flat, Chapel Street, Manchester, M3 5JZ",Flat,False,True,50000,buy,False,False,True,False,False,False,,BUY,,False,Featured Property," by RW Invest, Liverpool",Added on 24/11/2020,False,True,1 bedroom flat for sale,53.48338,-2.26277,50000.0,new,,RW Invest,Liverpool,E05000766
2,86441701,1,5,0,1,"GUIDE PRICE £50,000 FOR SALE BY AUCTION on 9 DECEMBER 2020 at Online Auction commencing at 09:00 prompt. ","121 High Street, Little Lever, Bolton, Lancashire, BL3",Flat,False,False,50000,buy,False,False,True,False,True,False,,BUY,,False,," by PUGH & COMPANY LIMITED, Newton-Le-Willows",Reduced on 05/11/2020,False,True,1 bedroom flat for sale,53.561379,-2.368069,50000.0,price_reduced,,PUGH & COMPANY LIMITED,Newton-Le-Willows,E05000664
3,86105770,2,6,1,1,"FOR SALE BY LIVE STREAM AUCTION ON TUESDAY 8TH DECEMBER 2020 AT 2PM *GUIDE PRICE £50,000 - £60,000. A Tenanted Two Bedroomed Fifth Floor Apartment Producing £7,200pa/£600pcm. This smartly presented apartment is currently occupied under an Assured Shorthold Tenancy at a ren...","Spindletree Avenue, Manchester, M9",Apartment,False,False,50000,buy,False,False,True,False,True,False,,BUY,,False,," by Auction House, Manchester",Added on 25/10/2020,False,True,2 bedroom apartment for sale,53.528936,-2.194279,50000.0,new,,Auction House,Manchester,E05000693
4,82563871,1,9,1,2,MODERN METHOD OF AUCTION - RECENTLY UPDATED - IDEAL FOR FTB OR INVESTORS - LARGE LOUNGE & BEDROOM - CUL DE SAC LOCATION,"Louise Street, Smallbridge, OL12 9RT",Terraced,True,False,50000,buy,False,False,True,False,True,False,,BUY,,True,," by Martin & Co, Rochdale",Added on 23/07/2020,False,True,1 bedroom terraced house for sale,53.632546,-2.137368,50000.0,new,,Martin & Co,Rochdale,E05000753
5,74643964,2,9,1,0,Attention investors! A superb purpose built apartment situated on the fringe of Hindley within a desirable residential area. The apartment has previously been rented out and has achieved £425 PCM. The accommodation is on the ground and lower ground floor level and briefly comprises; comm...,"Cowburn Street, Hindley, Wigan",Flat,False,False,50000,buy,False,False,True,False,False,False,,BUY,,False,," by Morgan H Lewis Estate Agents, Wigan",Added on 30/06/2020,False,True,2 bedroom flat for sale,53.54029,-2.563275,50000.0,new,,Morgan H Lewis Estate Agents,Wigan,E05000849
6,73868268,2,10,1,0,"HUNTER LEIGH are delighted to present this 50% SHARED OWNERSHIP TWO BEDROOM semi detached
home. This WELL presented home briefly comprises of; LOUNGE, Kitchen DINER Two Bedrooms and a Bathroom.
Externally this property has a DRIVEWAY to the front with immaculately presented gardens to front and rea","Carders Close, Leigh, WN7 4JX",Semi-Detached,False,False,50000,buy,False,False,True,False,False,False,,BUY,,False,," by Hunters, Leigh",Reduced on 05/11/2020,False,True,2 bedroom semi-detached house for sale,53.49214,-2.52433,50000.0,price_reduced,,Hunters,Leigh,E05000853
7,91085840,2,9,1,0,"***SHARED OWNERSHIP PROPERTY WITH STAIRCASING AVAILABLE FOR 75% AND 100% OWNERSHIP*** MILLER METCALFE are delighted to offer FOR SALE this EXCEPTIONAL ground floor TWO BEDROOM apartment. IMMACULATELY PRESENTED THROUGHOUT. The property briefly comprises: entrance hallway, leading to OPEN PLAN...","Madison Gardens, Westhoughton, Bolton, Greater Manchester, BL5",Apartment,True,False,50000,buy,False,False,True,False,False,False,,BUY,,False,," by Miller Metcalfe, Horwich",Reduced on 10/08/2020,False,True,2 bedroom apartment for sale,53.556951,-2.51393,50000.0,price_reduced,,Miller Metcalfe,Horwich,E05000668
8,86460487,0,3,0,0,"GUIDE PRICE £50,000-£60,000 FOR SALE BY AUCTION on 9 DECEMBER 2020 at Online Auction commencing at 09:00 prompt. ","Land At Currier Lane, Ashton-Under-Lyne, Greater Manchester, OL6",Land,False,False,50000,buy,True,False,True,False,True,False,,COMMERCIAL_BUY,,False,,"Marketed by PUGH & COMPANY LIMITED, Newton-Le-Willows",,False,True,Land for sale,53.4864,-2.079848,50000.0,new,,PUGH & COMPANY LIMITED,Newton-Le-Willows,E05000801
9,86596702,3,1,0,0,"*Guide Price: £50,000 +. Public Auction : Thursday, 10 December 2020 at , Virtual Livestream Online Auction GET READY TO BID BY VISITING THE AUCTIONEERS WEBSITE GUIDE PRICES & RESERVE PRICES Guide Price
An indication of the seller’s current minimum acceptable price at auc...","39 NEW STREET, PLATT BRIDGE, WIGAN, LANCASHIRE",Semi-Detached,False,False,50000,buy,False,False,True,False,True,False,,BUY,,False,," by Sutton Kersh Auction, Liverpool - Auction",Added on 24/07/2020,False,True,3 bedroom semi-detached house for sale,53.51785,-2.5996,50000.0,new,,Sutton Kersh Auction,Liverpool - Auction,E05000840
10,79930873,1,6,0,0,"A well presented one bedroom upstairs floor Apartment situated across from Rochdale Football Ground. The property comprises of a hallway, an open plan lounge and fitted kitchen, a double bedroom and a three piece bathroom suite with a shower over the bath. The apartment benefits from electric hea...","159 Sandy Lane, Rochdale, Lancashire",Flat,False,False,50000,buy,False,False,True,False,False,False,,BUY,,False,," by Express Estate Agency, Nationwide",Added on 21/05/2020,False,True,1 bedroom flat for sale,53.6199,-2.181314,50000.0,new,,Express Estate Agency,Nationwide,E05000755
