id,canonical_id,is_active,source_provenance,_row_ix,displayAddress,city,postcode,latitude,longitude,geohash6,propertySubType,propertyTypeFullDescription,bedrooms,summary,price,displayPrice,transactionType,channel,auction,numberOfImages,numberOfFloorplans,numberOfVirtualTours,has_floorplan,has_virtual_tour,has_parking,has_balcony,has_garden,new_build,student_friendly,investment,formattedBranchName,branchName,branchLocation,firstVisibleDate,listingUpdateDate,updated_recency_band,price_band,has_media_score,region_id
87120208,018aedd5be097e8f577edf3340d0cb02eed4bb84,True,manchester_properties_for_sale_mini.csv,80,"Belgrave Street, Rochdale, OL12",Ol12,,53.623626,-2.174573,gcw3n9,Land,Land for sale,0,"FOR SALE BY LIVE STREAM AUCTION ON TUESDAY 8TH DECEMBER 2020 *GUIDE PRICE £10,000 - £15,000. A Freehold Parcel of Amenity Land Comprising Approximately 420sq yds/351sq m. Situated in the popular residential area of Roundthorn the sale is of a parcel of Amenity Land, more particularly ...",10000,10000.0,buy,COMMERCIAL_BUY,True,1,0,1,False,True,False,False,False,False,False,False,"Marketed by Auction House, Manchester",Auction House,Manchester,,,unknown,<50k,1.6931471805599454,E05000755
61547415,03a0021568cb7d49c4f7203b16d056bfe961d673,True,manchester_properties_for_sale_mini.csv,31,"Boundary Street, Leigh, Greater Manchester, WN7",Wn7,,53.49296,-2.50022,gcw0r4,Studio,Studio flat for sale,0,Situated in a well established area with good access to the town centre and commuter routes is this well maintained first floor studio apartment offering ideal first time accommodation or a Buy to Letopportunity with communal gardens and parking space.,45000,45000.0,buy,BUY,False,5,0,0,False,False,True,False,False,False,False,False,"by Cooke & Company, Leigh",Cooke & Company,Leigh,,,unknown,<50k,1.791759469228055,E05000853
52242471,06b1e27a25634e3f549c279e377825cb5a63fdf8,True,manchester_properties_for_sale_mini.csv,55,"Nelson Square, Bolton",Bolton,,53.578053,-2.427118,gcw2bc,Apartment,1 bedroom apartment for sale,1,"FOR SALE BY MODERN METHOD OF AUCTION, BIDDING OPEN AT INVESTMENT OPPORTUNITY*** LUXURY STUDENT ACCOMMODATION *** SITTING TENANT *** HIGH YIELD *** NO CHAIN The Pack Horse is situated in the heart of Bol...",35000,35000.0,buy,BUY,True,8,1,0,True,False,False,False,False,False,True,True,"by Regency Estates, Horwich",Regency Estates,Horwich,,,unknown,<50k,3.1972245773362196,E05000656
91085840,07d0e9dd26d32f30e667f6c37e287e7296f50cd1,True,manchester_properties_for_sale_mini.csv,6,"Madison Gardens, Westhoughton, Bolton, Greater Manchester, BL5",Bl5,,53.556951,-2.51393,gcw0wv,Apartment,2 bedroom apartment for sale,2,"***SHARED OWNERSHIP PROPERTY WITH STAIRCASING AVAILABLE FOR 75% AND 100% OWNERSHIP*** MILLER METCALFE are delighted to offer FOR SALE this EXCEPTIONAL ground floor TWO BEDROOM apartment. IMMACULATELY PRESENTED THROUGHOUT. The property briefly comprises: entrance hallway, leading to OPEN PLAN...",50000,50000.0,buy,BUY,False,9,1,0,True,False,False,False,False,False,False,False,"by Miller Metcalfe, Horwich",Miller Metcalfe,Horwich,,,unknown,50–100k,3.302585092994046,E05000668
74183472,0b9f1d44e7ce9404829568c0bf22f7c279c4951f,True,manchester_properties_for_sale_mini.csv,39,"Ground Rents & Site Land at Mottram Moor, Mottram Hyde, SK14",Sk14,,53.45805,-2.01111,gcw845,Land,Land for sale,0,"Freehold Ground Rent Investment Producing £2,640 pa and Surplus Site Site Approximately 0.3 Acre may Suit Future Development (STP)",40000,40000.0,buy,COMMERCIAL_BUY,True,6,0,0,False,False,False,False,False,False,False,True,"Marketed by Auction House, North West",Auction House,North West,,,unknown,<50k,1.9459101490553132,E05000814
86447890,0c68cb3d4df996598333a9e765f14dd439f932ba,True,manchester_properties_for_sale_mini.csv,20,"66 PENDLE COURT, LEIGH, LANCASHIRE",Lancashire,,53.49143,-2.50096,gcw0r1,Flat,2 bedroom flat for sale,2,"*Guide Price: £48,000 +. Public Auction : Thursday, 10 December 2020 at , Virtual Livestream Online Auction GET READY TO BID BY VISITING THE AUCTIONEERS WEBSITE GUIDE PRICES & RESERVE PRICES Guide Price An indication of the seller’s current minimum acceptable price at auc...",48000,48000.0,buy,BUY,True,8,0,0,False,False,False,False,False,False,False,False,"by Sutton Kersh Auction, Liverpool - Auction",Sutton Kersh Auction,Liverpool - Auction,,,unknown,<50k,2.1972245773362196,E05000853
83193406,133fb268408deebc8ac027d05490dcdcbf17ce01,True,manchester_properties_for_sale_mini.csv,30,"Water Street, Radcliffe, Manchester",Manchester,,53.562899,-2.334682,gcw2dy,Apartment,2 bedroom apartment for sale,2,"The property must be sold to a person nominated to the Council under its Affordable Housing Policy . Online Affordable housing application form - A two bedroom, first floor apartment positioned within easy access of all local amenities ...",45000,45000.0,buy,BUY,False,11,0,0,False,False,False,False,False,False,False,False,"by Pearson Ferrier, Radcliffe",Pearson Ferrier,Radcliffe,,,unknown,<50k,2.4849066497880004,E05000680
96550748,1439871f63b52cc0d861bf814955ecf6571343ec,True,manchester_properties_for_sale_mini.csv,16,"Sharples Hall, Sharples Hall Drive, Bolton, Greater Manchester, BL1",Bl1,,53.610531,-2.426858,gcw2bz,Apartment,1 bedroom apartment for sale,1,"***DESIRABLE LOCATION, OVER 55'S, APARTMENT IN NEED OF MODERNISATION** This one bedroom apartment is being welcomed to the market in the highly regarded development of Sharples Hall Park. The property is in need of modernisation but has lots of potential, suitable for over 55's only. The apa...",50000,50000.0,buy,BUY,False,13,1,0,True,False,False,False,False,False,False,False,"by Miller Metcalfe, Bolton",Miller Metcalfe,Bolton,,,unknown,50–100k,3.6390573296152584,E05000650
86454553,22ee69aa1ad268eddadd1550b59ee3b8626818e1,True,manchester_properties_for_sale_mini.csv,92,"Land At Dorset Street, Hindley, Wigan, Lancashire, WN2",Wn2,,53.537625,-2.569101,gcw0td,Land,Land for sale,0,FOR SALE BY AUCTION on 9 DECEMBER 2020 at Online Auction commencing at 09:00 prompt.,99,99.0,buy,COMMERCIAL_BUY,True,2,0,0,False,False,False,False,False,False,False,False,"Marketed by PUGH & COMPANY LIMITED, Newton-Le-Willows",PUGH & COMPANY LIMITED,Newton-Le-Willows,,,unknown,<50k,1.0986122886681098,E05000849
79930873,23ca5c2b6e1215cefb3632d1ab01877d46da2874,True,manchester_properties_for_sale_mini.csv,9,"159 Sandy Lane, Rochdale, Lancashire",Lancashire,,53.6199,-2.181314,gcw3n3,Flat,1 bedroom flat for sale,1,"A well presented one bedroom upstairs floor Apartment situated across from Rochdale Football Ground. The property comprises of a hallway, an open plan lounge and fitted kitchen, a double bedroom and a three piece bathroom suite with a shower over the bath. The apartment benefits from electric hea...",50000,50000.0,buy,BUY,False,6,0,0,False,False,False,False,False,False,False,False,"by Express Estate Agency, Nationwide",Express Estate Agency,Nationwide,,,unknown,50–100k,1.9459101490553132,E05000755
100178015,23df3a3b48fe2648105a4487499ebc35f3025290,True,manchester_properties_for_sale_mini.csv,0,"Completed Buy to Let City Flat, Chapel Street, Manchester, M3 5JZ",Manchester,M35JZ,53.48338,-2.26277,gcw2k8,Flat,1 bedroom flat for sale,1,Modern one-bedroom student apartment with high rental yields and below-market value prices. CHA666,50000,50000.0,buy,BUY,False,10,2,0,True,False,False,False,False,False,True,False,"by RW Invest, Liverpool",RW Invest,Liverpool,,,unknown,50–100k,3.3978952727983707,E05000766
